A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Like sourwood	ᏅᏙᏇᏯ ᎢᏳᏍᏗ	[nvːdoːgweːhya iːyusdi] (plant) /rrd/
Lilium superbum	ᎧᎾᎫᏣᏘ	[kaːhnguːtsati] /rrd/
Lima bean	ᏚᏯᏁᏆ	[tuːyaneːgwa] /rrd/
Limb	ᎤᏩᏂᎦᎳᏅ	[uwaːnigaːhlanv] /rrd/
Lindera benzoin	ᏃᏓᏥ	[noːhdatsi] /rrd/
Linen	ᎠᎬᎯᏓ	[akvhida] /rrd/
Liparis loeselii	ᎤᏲᏓᎵᏳᏍᏗ	[uyodaːhliyusdi] /rrd/
Liquid	ᎫᎭ	[guha] (in a) /rrd/
Liquid	ᎠᏯᎠ	[ayaːʔa] (something alive) (in a) /rrd/
Liquid	ᎫᎭ	[guha] (something solid) (in a) /rrd/
Liriodendron tulipifera	ᏥᏳ	[tsiːyu] /rrd/
Listening	ᎠᏛᏓᏍᏗᎭ	[atvːdaːsdiha] /rrd/
Literally: {|Wild bean|}	ᏚᏯ ᎢᎾᎨᎢ	[tuːya inageʔi] /rrd/
Little	ᎤᏍᏗ	[uhsdi] /rrd/
Little	ᎦᏲᎵ	[gaːyoːhli] /rrd/
Little people	ᏴᏫ ᏧᎾᏍᏗᎢ	[yvːwi tsuːnsdiʔi] (mythological) /rrd/
Little while	ᏎᎦ	[seːga] /rrd/
Liver	ᎤᏪᎳ	[uweːla] /rrd/
Living	ᎡᎭ	[eha] /rrd/
Living at	ᎡᎯ	[ehi] /rrd/
Loafing	ᎡᏙᎵᏙᎭ	[eːdoʔlíːdoːha] /rrd/
Loft	ᎦᎸᎳᏗ	[galv́ːladi] /rrd/
Log	ᎠᏒᏓᏆᎶᏍᏗ	[ahsvdagwaloːsdi] /rrd/
Lonesome	ᎠᏑᎳᎪᎦ	[ahsuːlagoːga] /rrd/
Long	ᎦᏅᎯᏓ	[ganvhiːda] /rrd/
Long hair clan	ᎠᏂᎩᎶᎯ	[aniːgilohi] (twister) /rrd/
Long tailed sharp-shinned hawk	ᏗᎦᎦᏛᎾᎯᏛ	[digaːgdvnahiːdv] /rrd/
Long-eared owl	ᏥᎩᎵ	[tsgiːli] /rrd/
Long-tailed weasal	ᏓᎶᏂᎨ ᏥᏍᏕᏥ	[daloːnige tsisdeːtsi] /rrd/
Lonicera spp	ᎬᏅᎩᎵᎩ	[kvːnvgiːhlgi] /rrd/
Lontra canadensis	ᏥᏲ	[tsiːyo] /rrd/
Look!	Ꮒ	[ni] /rrd/
Looking	ᏓᎧᏂᎭ	[daːkaniha] /rrd/
Looking at it	ᎠᎦᏙᏍᏗᎭ	[aːktoːsdiha] /rrd/
Looking at it	ᏓᎧᎿ	[daːkaːhna] /rrd/
Looking for	ᎤᏯᎵ	[uːyhali] /rrd/
Looks like	ᏂᎬᏫᏍᏗ	[nigvːwhsdi] /rrd/
Losing it	ᎤᏲᎱᏎᎭ	[uːyoːhúseha] /rrd/
Lost	ᎠᏲᎣᏍᎦ	[ayoʔohsga] (die) /rrd/
Lots	ᎤᏂᏣᏛ	[uːniːtsadv] /rrd/
Lovage	ᏩᏁᎩᏓ	[waneːgida] /rrd/
Loving	ᎤᏓᎨᏳᎭ	[uːdagéːyuha] /rrd/
Loving it	ᎦᎸᏉᏗᎭ	[galvːgwdiːha] /rrd/
Lower	ᎡᎳᏗ	[eːladi] /rrd/
Lower back	ᎠᏖᏍᎨᏂ	[atehsgeːni] /rrd/
Loyal	ᎤᏬᎯᏳᎯ	[uwoːhiyuhi] /rrd/
Lumbricus terrestris	ᎤᏂᏥᏯ	[unitsiyaː] /rrd/
Lunatic	ᎤᎸᏅᏘᏍᎩ	[uːlvntihsgi] /rrd/
Lycopus virginicus	ᎠᏂᏬᏂᏍᎩ	[aniːwoʔnihsgi] /rrd/
Lying	ᎠᏥᎪᎥᏍᎦ	[atshsgoʔvhsga] /rrd/
Lying down	ᎦᎾᎠ	[ganaʔa] /rrd/
Lynx rufus	ᎬᎮ	[kvːhe] /rrd/
Magnolia acuminata	ᏧᏆᎶᎦ ᏤᏆ	[tsuːgwaloːga tseːgwa] /rrd/
Magpie	ᏩᏘᏰᎵ	[waːtiyeːli] /rrd/
Maianthemum racemosum	ᎤᏗᎵᏍᏗ	[udihlisdi] /rrd/
Mailman	ᎪᏪᎵᏗᎦᏂᏙᎯ	[goːhweːlidiːgaːhnidoːhi] /rrd/
Making a hole	ᎠᏔᎳᎦᏍᎦ	[atalaːksga] /rrd/
Making a noise	ᎤᏃᏴᎦ	[uːnohyvʔga] /rrd/
Making fast	ᎠᏍᏓᏱᏗᎠ	[ahsdáːʔyiːdiʔa] /rrd/
Making fun of	ᏛᏐᏨᏤᎭ	[dvːsotsvːtsheːha] /rrd/
Making fun of him	ᎠᏙᏥᏗᎭ	[adóːtsdiha] /rrd/
Making him fall	ᎦᎶᎣᏅᏗᎭ	[galoʔoːhndiha] /rrd/
Making himself attractive	ᎠᏓᏙᏚᎢᏍᏗᎭ	[adadoːduːʔisdiha] /rrd/
Making it	ᏂᎬᏁᎭ	[nigvːneːha] /rrd/
Making it deep	ᎠᏍᏛᎯᏍᏗᎭ	[ahsdv́ːhiːsdiha] /rrd/
Making it shallow	ᎦᏅᏬᏗᎭ	[ganvwóːdiːha] /rrd/
Making pottery	ᏕᎦᏔᏆᎴᏍᎦ	[deːktágwaleːsga] /rrd/
Making smoke. It is smoking	ᏓᎦᏒᏍᏗᎭ	[daːksvːsdiha] /rrd/
Making something for him	ᏂᎬᏁᎭ	[nigv́hneːha] /rrd/
Man	ᎠᏍᎦᏯ	[ahsgaːya] /rrd/
Man, elderly	ᎤᏛᏐᏅ	[uːtvːsonv] /rrd/
Manager	ᎠᏍᎦᏰᎬᏍᏗ	[aːsgayeːgvːsdi] /rrd/
Many	ᎤᏂᏣᏛ	[uːniːtsadv] /rrd/
Many	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Maple	ᏧᏩᎩ	[tsuːwaːgi] /rrd/
Marble	ᎦᏓᏲᏍᏗ	[gadaːyosdi] /rrd/
March	ᎠᏅᏱ	[anvhyi] (month) /rrd/
Margarine	ᎪᏒᏅ	[gosvːnv] /rrd/
Marmota monax	ᎣᎦᏅ	[oːganv] /rrd/
Marsh hawk	ᎠᎪᏕᎯ	[agodʔehi] /rrd/
Maryville, TN	ᎤᎾᏆᎸ	[unagwahlv] /rrd/
Mashing it	ᎦᏙᏫᏗᎭ	[gadowiːdiːha] /rrd/
Mask	ᎠᎬᏚᎶ	[agvːduʔlo] /rrd/
Mass of people	ᎤᏂᏣᏘ	[uːniːtsati] /rrd/
Matches	ᎠᏨᏍᏙᏗ	[atsvhstdi] /rrd/
Mattress	ᎠᏤᏍᏙ	[atsesdo] /rrd/
May	ᎠᏂᏍᎬᏘ	[ahnsgvːti] /rrd/
Mayapple	ᎤᏂᏍᏇᏚᎦ	[unisgweːduːga] /rrd/
Maybe	ᏙᏗ	[doːdi] /rrd/
Maypop	ᎤᏩᎦ	[uːwaga] /rrd/
Me too	ᎠᏴᏍᏉ	[ayhsgwo] /rrd/
Meadowlark, eastern	ᏃᏈᏏ	[nokwisi] /rrd/
Mean	ᎤᏁᎫᎭ	[uːneːguːha] /rrd/
Meander	ᎤᏪᏴᎢ	[uweːyvʔi] /rrd/
Meaning	ᎤᏰᎸᎭ	[uːyéːlvːha] /rrd/
Measles	ᎦᏁᏬᏗᏍᎩ	[ganeːwodisgi] /rrd/
Measuring it	ᎠᏥᎶᎠ	[atsiːhloʔa] /rrd/
Meat	ᎭᏫᏯ	[hawiːya] /rrd/
Medicine	ᏅᏬᏗ	[nvwoːhdi] /rrd/
Meeting	ᏗᎦᎳᏫᎢᏍᏗ	[digalaːwiʔisdi] /rrd/
Megaceryle alcyon	ᏣᎶᎯ	[tsaːlohi] /rrd/
Megascops asio	ᏩᎱᎱ	[wahuhu] /rrd/
Melanerpes erythrocephalus	ᏓᎳᎳ	[dalaːla] /rrd/
Meleagris gallopavo	ᎬᎾ	[kvːna] /rrd/
Meleagris gallopavo	ᎬᎾ ᎢᎾᎨᎡᎯ	[kvːna iːnageːehi] /rrd/
Mellow bug	ᏙᏳᏂᏏ	[doːyuniːsi] /rrd/
Melospiza melodia	ᏥᎦᏣ	[tsiːgtsa] /rrd/
Mephitis mephitis	ᏗᎵ	[diːli] /rrd/
Merlin	ᏌᎾᏩ	[saːnawa] (bird) /rrd/
Micropterus salmoides	ᎤᏃᎧ	[uhnohga] /rrd/
Middle	ᎠᏰᎵ	[ayehli] (in the) /rrd/
Mile	ᎢᏳᏥᎶᏓ	[iːyuːtsiːloːda] /rrd/
Mile	ᏑᏥᎶᏓ	[sutsiloːda] /rrd/
Milk	ᎤᏅᏗ	[unvːdi] /rrd/
Milking it	ᎦᏁᎩᎡᎭ	[ganeːgíʔeːha] /rrd/
Mingling	ᎨᎳᏗᏙᎭ	[keladíːdoha] /rrd/
Mink	ᏒᎩ	[svːki] /rrd/
Minnow	ᎠᏨᏗᏯ	[atsvːdiːya] /rrd/
Minute	ᎢᏯᏔᏬᏍᏓᏅᎯ	[iyhtawoːsdanvhi] (s) /rrd/
Mirror	ᎠᏓᎨᏗ	[adaːkeːhdi] /rrd/
Mirror	ᎠᏓᎨᏙᏗ	[adakedodi] /rrd/
Misbehaving	ᎠᏍᎦᏅᎦ	[ahsganvːga] /rrd/
Mischievious	ᎤᏁᎫᏣᏔ	[uːneːgúhtsata] /rrd/
Mistletoe	ᎤᏓᎵ	[udaːhli] /rrd/
Mixing it	ᎠᏑᎨᎭ	[ahsúːgeha] /rrd/
Mixing it together	ᎠᏑᏰᎭ	[ahsúʔyeha] /rrd/
Mixing liquids	ᎫᏍᏗᎭ	[gúsdiha] /rrd/
Moccasin	ᎤᏧᏬᏗ	[utsuːwodi] /rrd/
Moccasin flower	ᎤᎫᏇ ᎤᎳᏑᎳ	[ukgwe ulahsula] /rrd/
Mocking him	ᎠᏰᎵᎠ	[àhyeːliʔa] /rrd/
Mockingbird	ᏩᏚᏰᎳ	[waduyeːla] /rrd/
Molasses	ᏩᏚᎵᏏ	[waːduːliːsi] /rrd/
Mole	ᎤᏪᏘ	[uweːti] (on the flesh) /rrd/
Moment	ᏏᎸᎢ	[silvʔi] /rrd/
Monarda didyma	ᏩᎴᎷ ᎤᏂᏣᎩᏍᏗ	[waleːlu unitsagiːsdi] /rrd/
Monday	ᏙᏓᏉᏅᎯ	[doːdagwoːnvhi] /rrd/
Money	ᎠᏕᎳ	[adeːla] /rrd/
Monkey	ᏓᎴᏍᎩᏍᎩ	[daleːsgiːsgi] /rrd/
Month	ᏏᏅᏓ	[siːnvːda] /rrd/
Moon	ᏒᏃ ᎡᏙ ᏅᏓ	[svːno eːdo nvːda] /rrd/
Morchella esculenta	ᎤᏂᏒᏙᏂ	[uːnihsvːdoni] /rrd/
More	ᏏᏉ	[sigwo] /rrd/
Morel	ᎤᏂᏒᏙᏂ	[uːnihsvːdoni] /rrd/
Morus rubra	ᎫᏩ	[kuːwa] /rrd/
Moth	ᎠᏛᏙᏩ	[advːtowa] /rrd/
Mother	ᎤᏥ	[uːtsi] (his) /rrd/
Mother's brother	ᎤᏚᏥ	[uːduːtsi] (his) /rrd/
Mother's brother's wife	ᎤᎳᎾ	[uːlana] (his) /rrd/
Mother's father	ᎤᏚᏚ	[uːduːdu] (his) /rrd/
Mother's sister	ᎤᏥ	[uːtsi] (his) /rrd/
Mountain	ᎣᏓᎵ	[oːdaːli] /rrd/
Mountain	ᎤᏅᏓᏒᎢ	[uːnvːdʔasvʔi] /rrd/
Mountain cane	ᎦᏂ	[gaʔni] /rrd/
Mountain holly	ᎤᏍᏓᏍᏗ	[uhsdahsdi] /rrd/
Mountain lion	ᏨᏓᏥ	[tsvːdatsi] /rrd/
Mountain oak	ᏓᏑᏓᏆᎴᏆ	[dahsuːdagwaleːgwa] /rrd/
Mountain willow	ᏗᎳᎦᎵᏍᎩ ᎤᏍᏗ	[dilaːgalisgi uːsdi] /rrd/
Mounting it	ᎠᎩᎸᎥᏍᎦ	[ahkilvʔvhsga] /rrd/
Mourning dove	ᎫᎴᏗᏍᎪᏂᎯ	[guːleːhdisgoːhnihi] /rrd/
Mouse	ᏥᏍᏕᏥ	[tsiːsdeːtsi] /rrd/
Mouth	ᎠᎰᎵ	[ahoːli] (his) /rrd/
Movie projector	ᏗᎦᎸᏌᏓᏗᏍᏗᏍᎩ	[digalvsadadisdihsgi] /rrd/
Moving	ᎠᎵᏰᎵ	[ahliyéːli] (himself) /rrd/
Moving his household from …	ᎠᏓᏅᎠ	[adáʔnvːʔa] /rrd/
Moving house	ᎠᏓᏅᎠ	[adáʔnvːʔa] /rrd/
Moving it	ᎠᎧᎲᎠ	[aːkahvʔa] (something alive) /rrd/
Moving it	ᎠᎬᎠ	[ahkv́ʔa] (something alive) /rrd/
Moving it	ᎦᎾᎬᎠ	[ganáʔgvʔa] (something flexible) off /rrd/
Moving it	ᎠᎧᎲᎠ	[akahvʔa] (something solid) /rrd/
Moving it	ᎠᎬᎠ	[ahkv́ʔa] (something solid) /rrd/
Mowing	ᎠᏣᎦᏍᎦ	[ahtsáksga] /rrd/
Moxostoma carinatum	ᎣᎵᎦ	[oːliga] /rrd/
Much	ᎠᎦᏓ	[agaːda] /rrd/
Much	ᎤᏣᏘ	[utsaːti] /rrd/
Mud flutter fish	ᏧᏂᎩᏥᏴᏍᏗ	[tsuniːgiːtsiyvːsdi] /rrd/
Mud turtle	ᏌᎵᎫᎩ	[salígúːgi] (eastern) /rrd/
Mudpuppy	ᏧᏩ	[tshuːwa] /rrd/
Mulberry	ᎫᏩ	[kuːwa] /rrd/
Mule	ᏔᏁᏆ	[taneːgwa] (animal) /rrd/
Mulligan blanket	ᎤᏍᏆᏅᏂ	[uhsgwanvːhni] /rrd/
Mumps	ᎠᏓᏴᏦᏗᏍᎩ	[adayvːtsodisgi] /rrd/
Murphy, N.C	ᏣᏄᏏ	[tsanuːsi] /rrd/
Musca domestica	ᏛᎧ	[dvka] /rrd/
Muscadine grapes	ᏆᎷᏏ	[kwalúsi] /rrd/
Muscovy duck	ᏙᎦᏏ	[doːgsi] /rrd/
Mushroom	ᏚᏬᎵ	[duwoːhli] /rrd/
Musical instrument	ᎧᏃᎩᏍᏙᏗ	[kanoːgiːsdoːhdi] (of any kind) /rrd/
Muskrat	ᏎᎵᎦᏍᏉ	[seːliːksgwo] /rrd/
Mussel	ᎤᏯᏍᎦ	[uhyaːsga] /rrd/
Mustard	ᎠᏥᎳ	[aʔtsiːla] /rrd/
Mustard greens	ᎠᏲᏍᎩ	[aʔyohsgi] /rrd/
Mustela frenata	ᏓᎶᏂᎨ ᏥᏍᏕᏥ	[daloːnige tsisdeːtsi] /rrd/
Mythical hawk like bird	ᏌᏅᏬ	[sanvwo] /rrd/
Nail	ᏴᎩ	[yvːgi] /rrd/
Naked	ᎤᏰᎳᎭ	[uyeːlaha] /rrd/
Naming him	ᏕᎪᎠ	[deːgoʔa] /rrd/
Narrowleaf plantain	ᎪᏍᏓᏂᏍᏗ	[goːsdáːnisdi] /rrd/
Nasturtium officinale	ᎠᎼ ᎤᎵᏏ	[amo uliːsi] /rrd/
Natchez	ᎠᏂᏃᏥ	[aniːnoːtsi] /rrd/
Native American	ᎠᏴᏫᏯ	[ayvːwiya] /rrd/
Near	ᎾᎥᏂ	[naʔv́ʔni] /rrd/
Neck, front of	ᎠᏴᏤᏂ	[ayvhtseːni] (his) /rrd/
Neck, the back of	ᎦᎩᎵᎨᏂ	[gagiːhlgeːni] (his) /rrd/
Necklace	ᎠᏯᏨᏗ	[ahyatsvhdi] /rrd/
Necktie	ᎠᏯᏨᏗ	[ahyatsvhdi] /rrd/
Necturus spp	ᏧᏩ	[tshuːwa] /rrd/
Need	ᎤᏂᎬᎦ	[uːniːgvʔga] (in) /rrd/
Needing	ᎤᏂᎬᎦ	[uːhniːgvʔga] /rrd/
Neovison vison	ᏒᎩ	[svːki] /rrd/
Nest	ᎤᏁᏍᎩᎸᎢ	[uhneːsgilvʔi] /rrd/
Never	ᎭᏃ	[haːhno] /rrd/
New	ᎠᏤᎯ	[atseːhi] /rrd/
New moon	ᎠᏤ ᏅᏙ	[atseː nvːdo] /rrd/
New year	ᎠᏤ ᎤᎾᏕᏘᏱᏍᎬᎢ	[atseː unadeːtiyisgvːʔi] /rrd/
New York	ᏄᏯᎩ	[nuyaːgi] /rrd/
Next to	ᎤᎵᏗᏨ	[uhldiːtsv] /rrd/
Nicotiana tabacum	ᏦᎳ	[tsoːla] /rrd/
Nicotina rustica	ᏦᎳ ᎠᎦᏴᎵ	[tsoːla agayvːli] /rrd/
Night	ᎤᏒᎯ	[usvːhi] (at) /rrd/
Night hawk	ᏓᎳᏍᏙᎬ	[daːhlsdoːgv] /rrd/
Night traveler	ᏥᎩᎵ	[tsgiːli] /rrd/
Nightcrawlers	ᎤᏂᏥᏯ	[unitsiyaː] /rrd/
Nine	ᏐᎣᏁᎳ	[soʔoneːla] /rrd/
Nineteen	ᏐᎣᏁᎳᏚᎯ	[soʔoneːladuhi] /rrd/
Ninety	ᏐᎣᏁᎳᏍᎪᎯ	[soʔoneːlsgoːhi] /rrd/
No	ᎭᏗ	[hadi] /rrd/
No	ᏣᏃ	[tsaːhno] /rrd/
Nodding his head yes	ᎠᎵᏍᎫᏩᏍᎦ	[ahlsgúwhsga] /rrd/
None	ᎧᏂᎩᏓ	[kaniːgida] /rrd/
Noon	ᎢᎦ	[iːga] /rrd/
North	ᏧᏴᏨᎢ	[tsuːhyvːtsvʔi] /rrd/
North American bamboo	ᎢᏯ	[iːhya] /rrd/
North American newt	ᏚᏪᎧ	[duweːka] /rrd/
North Carolina	ᎦᏯᎴᎾ	[gaːyaleːna] /rrd/
Northern bobwhite	ᎤᎫᏇᎯ	[ukgweːhi] /rrd/
Nose	ᎠᏴᏐᎵ	[ayvhsoːli] (his) /rrd/
Not	ᎨᏍᏗ	[gesdi] /rrd/
Not any	ᎧᏂᎩᏓ	[kaniːgida] /rrd/
Nothing	ᎧᏂᎩᏓ	[kaniːgida] /rrd/
Nothing	ᎨᏍᏗ ᎪᎱᏍᏗ	[gesd gohusdi] /rrd/
Noticing it	ᎠᏕᎶᎰᏍᎦ	[adeːlohoːhsga] /rrd/
Notophthalmus spp	ᏚᏪᎧ	[duweːka] /rrd/
Notophthalmus viridescens	ᏓᎴᏴᏍᎩ	[daleːyvːsgi] /rrd/
November	ᏅᏓᏕᏆ	[nvdadeːgwa] /rrd/
Now	ᎾᏉ	[naːgwo] /rrd/
Now	ᏃᎢ	[noʔi] /rrd/
Now	ᏃᏗ	[noːdi] /rrd/
Nude	ᎤᏰᎳᎭ	[uyeːlaha] /rrd/
Numbers	ᏗᏎᏍᏗ	[diseːsdi] /rrd/
Numida meleagris	ᎫᏇ ᏗᎦᎾᏌᎢ	[guːgwe digaːnasaʔi] /rrd/
Oak	ᎠᏓᏯᎯ	[adayahi] /rrd/
Oak	ᏔᎳ	[tala] /rrd/
Oarlock	ᎤᎶᏥᎬ	[uːloːdskvː] /rrd/
Oatmeal	ᏐᏈᎢ ᎤᏂᎩᏍᏗ	[soːgwiʔi uːnigisdi] /rrd/
Obedient	ᎤᏬᎯᏳᎯ	[uwoːhiyuhi] /rrd/
Ocean	ᎠᎹ ᎡᏉᎯ	[am eːgwoːhi] /rrd/
October	ᏚᏂᏅᏗ	[duniːnvdi] /rrd/
Odocoileus virginianus	ᎠᏫ	[ahwi] /rrd/
Oenothera biennis	ᎠᎾᏓᏥ	[andaːtsi] /rrd/
Office	ᏧᏃᏪᎶᏗᏳ	[tsuːnoːhweːloːdiːyu] /rrd/
Offspring	ᎤᏪᏥ	[uweːtsi] (his) /rrd/
Okay	ᎭᏩ	[hawa] /rrd/
Oklahoma	ᏭᏕᎵᎬ	[wuːdeːligv] /rrd/
Old	ᎤᏪᏗ	[uweːdi] (inanimate only) /rrd/
Old	ᎠᎬᏴᎵᎨᎢ	[ahgvyvːligeʔi] (something alive) /rrd/
Older brother	ᎤᏂᎵ	[uːnili] (male ego) (his) /rrd/
Oncorhynchus mykiss	ᏧᏂᎶᎸᏗ	[tsuːniːloːhldi] /rrd/
Ondatra zibethicus	ᏎᎵᎦᏍᏉ	[seːliːksgwo] /rrd/
One	ᏐᏊ	[soːgwu] /rrd/
One foot	ᎢᏯᎳᏏᏅᎯ	[iːyaʔlahsihnvhi] (12 inches) /rrd/
One hundred	ᏍᎪᎯᏥᏆ	[sgoːhiːtsgwa] /rrd/
One thing	ᏑᏓᎴᎦ	[suːdaleːga] /rrd/
One thousand	ᎠᎦᏴᎵ	[agayvːli] /rrd/
One who sews	ᎦᏰᏫᏒᎥᏍᎩ	[gaːyeːwhsvʔvsgi] /rrd/
Onion	ᏒᎩ	[svːgi] /rrd/
Only thing	ᏍᎩᏊᏩᏌ	[sgigwuwasa] /rrd/
Onopordum acanthium	ᏥᏥ	[tsiːtsi] /rrd/
Open mouth	ᎤᏔᎶᎩ	[utaloːgi] (his) /rrd/
Opening eyes	ᏓᎧᏂᎭ	[daːkaniha] /rrd/
Opening it	ᎠᏍᏚᎩᎠ	[ahsdúgiʔa] (ex. a door) /rrd/
Opossum	ᎤᏤᏥᏍᏗ	[uːtseːdsdi] /rrd/
Or	ᎠᎴ	[aleː] /rrd/
Or it is drying out	ᎠᎧᏲᏍᎦ	[ahkahyohsga] /rrd/
Orange	ᏓᎶᏂᎨ ᎤᏍᎪᎸᎢ	[daloːnige usgoːlvʔi] (color) /rrd/
Order Hymenoptera	ᎧᎾᏥᏍᏕᏥ	[kaːntsisdeːtsi] /rrd/
Order Orthoptera	ᏙᎯᏥᏆ	[toːhitsgwa] /rrd/
Order Orthoptera	ᏙᎳᏥ	[toːlatsi] /rrd/
Order Siphonaptera	ᏧᎧ	[tsuːka] /rrd/
Orontium aquaticum	ᎦᏁᏏ	[ganeːsi] /rrd/
Osage	ᎠᏂᏆᏌᏏ	[aniːkwaːsaːsi] /rrd/
Osprey	ᎧᏅᏧᏩ	[kanvːtsuːhwa] /rrd/
Other one	ᏄᏓᎴᎯ	[nuːdalehi] /rrd/
Otter	ᏥᏲ	[tsiːyo] /rrd/
Out of sight	ᏭᏕᎵ	[wuːdeʔli] /rrd/
Outside	ᏙᏱ	[doːyi] /rrd/
Outside of	ᏙᏱᏨ	[doyiːtsv] /rrd/
Outwitting him	ᎦᎶᏅᎡᎭ	[galoːnvʔeːha] /rrd/
Oven bird	ᏧᏦᎵᏛ	[tsutsoːldv] /rrd/
Over there	ᏂᎨᎢ	[nigeːi] /rrd/
Over yonder	ᏂᎨᎢ	[nigeːi] /rrd/
Overalls	ᎤᏤᏌᏗ	[utseːsaːdi] /rrd/
Overeating	ᎤᏯᎶᏘᎭ	[uːyaloːtiha] /rrd/
Overnight	ᏑᏒᎯᏓ	[susvhiːda] /rrd/
Ovis aries	ᎤᏃᏕᎾ	[unodeːna] /rrd/
Owes someone	ᎤᏚᎦ	[uːtuːga] /rrd/
Ownership	ᎤᏤᎵ	[uːtseːli] /rrd/
Oxydendrum arboreum	ᏅᏙᏇᏯ	[nvːdokweːhya] /rrd/
Oyster	ᏛᎬᎾ	[dvgvːna] /rrd/
Pacing back and forth	ᎠᏨᏏᏰᎠ	[atsvːsiːyeʔa] /rrd/
Paddling him	ᎠᏆᎸᏂᎭ	[agwalvːʔníha] /rrd/
Padlock	ᏓᎦᏏ	[daːgsi] /rrd/
Pain	ᎡᎯᏍᏗ	[ehihsdi] /rrd/
Paint clan	ᎠᏂᏬᏗ	[aniːwoːdi] /rrd/
Painting	ᏓᏑᏫᏍᎦ	[daːhsúhwiːsga] /rrd/
Pair of pants	ᎠᏑᎶ	[aːsuːlo] /rrd/
Pale	ᎤᏍᎪᎸ	[usgoːlv] /rrd/
Panax quinquefolius	ᎣᏓᎵᎦᎵ	[oːdaligaʔli] /rrd/
Pandion haliaetus	ᎧᏅᏧᏩ	[kanvːtsuːhwa] /rrd/
Panic grass	ᎧᏁᏍᎦ	[kaneːsga] /rrd/
Panicum spp	ᎧᏁᏍᎦ	[kaneːsga] /rrd/
Panther	ᏨᏓᏥ	[tsvːdatsi] /rrd/
Pantherophis obsoletus	ᎦᎴᎩ	[gaʔleːgi] /rrd/
Paper	ᎪᏪᎵ	[goːhweːli] /rrd/
Parent-in-law	ᎤᎾᏥ	[uːnaːtsi] (his) /rrd/
Parrot	ᏥᏍᏆᎦᏬᏂᏍᎩ	[tsiːsgwaːgawoʔnisgi] /rrd/
Passenger pigeon	ᏬᏱ	[woːyi] /rrd/
Passer domesticus	ᏥᏍᏆᏯ	[tsiːsgwaːya] /rrd/
Passerina cyanea	ᎠᎵᏣᏃᏍᎦ	[aliːtsanoːsga] /rrd/
Passiflora incarnata	ᎤᏩᎦ	[uːwaga] /rrd/
Passing a bill	ᎦᎶᎯᏍᏗᎭ	[galóhisdiha] (legislation) /rrd/
Passing a grade	ᎠᎦᏛᎴᎭ	[aktv́ʔleːha] /rrd/
Passing by	ᎦᎶᎯᏎᎭ	[galóhiseːha] /rrd/
Passing gas	ᎠᏌᎩᎠ	[aːsahgiːʔa] /rrd/
Passion flower	ᎤᏩᎦ	[uːwaga] /rrd/
Patchwork	ᏗᎬᎴᏲᏍᏗ	[digvleːyosdi] (for quilt) /rrd/
Path	ᎡᏓᏍᏗ	[eːdʔasdi] /rrd/
Patriarch	ᎤᏛᏐᏅ	[uːtvːsonv] /rrd/
Paying	ᎠᏈᏱᎭ	[agwihyiha] /rrd/
Paying him	ᎠᏈᏴᎡᎭ	[agwihyvːʔeha] /rrd/
Peach	ᏆᎾ	[kwaːna] /rrd/
Peacock	ᏧᏗᏆᏍᏗ	[tsudigwaːsdi] /rrd/
Peanuts	ᏚᏯ ᎠᏂᎳᏗᏍᎩ	[tuya aniːladiːsgi] /rrd/
Pear	ᏎᏗᏳᏍᏗ	[seːdiyusdi] /rrd/
Peas	ᎤᏂᏨᎾᏓᎵ	[untsvːndali] /rrd/
Pedicularis canadensis	ᎤᎫᎫᏍᏙ	[uguːkuːsdo] /rrd/
Pee wee	ᏥᎪᏱᏙᏍᏗ	[dsgoːyiʔdosdi] (bird) /rrd/
Peeking	ᎠᎧᏘᎭ	[akátiha] /rrd/
Peeling	ᎠᏯᎨᏨᎯ	[ahyahgeːtsvhi] /rrd/
Peeling	ᎤᏁᎦᎸᏅ	[uːneʔgalvʔnv] /rrd/
Peeling	ᏓᏯᎨᎦᏍᎦ	[daːyaːkeːksga] /rrd/
Pen	ᏗᎪᏪᎶᏗ	[digoːhweːloʔdi] /rrd/
Pencil	ᏗᎪᏪᎶᏗ	[digoːhweːloʔdi] /rrd/
Penetrating it	ᎠᏔᎳᎦᏍᎦ	[atalaːksga] /rrd/
Penis	ᎤᏩᏙᎵ	[uːwatoːli] (his) /rrd/
People with no clan affiliation	ᎠᏂᎩᏍᎩ	[aniːksgi] /rrd/
Pepper	ᏗᎪᏓᎳᏗ	[dikoːdaldi] (black) /rrd/
Pepper on a vine	ᎤᏂᏥᎸᎢ	[unitsiːlvːʔi] /rrd/
Perching on it	ᎠᎩᎸᎥᏍᎦ	[ahkilvʔvhsga] /rrd/
Performing the scratching ritual	ᏓᏓᏄᎪᏍᎦ	[daːdaːhnuːgǒːhsga] /rrd/
Persimmon	ᏌᎵ	[saːli] /rrd/
Person	ᏴᏫ	[yvːwi] /rrd/
Perspiring	ᎦᎵᎠᎦᎢᎭ	[gaʔliʔaːgaʔiːha] /rrd/
Persuading him	ᎠᏍᏗᏰᏗᎭ	[ahsdiːyeʔdiha] /rrd/
Pestle	ᏍᏙᏍᏗ	[sdoːsdi] /rrd/
